WKT;full_id;osm_id;osm_type;frequency;local_wiki;name;operator;plant_meth;plant_outp;plant_sour;power;voltage;wikidata;disused_pl;plant_ou_1;website;wikipedia;bicycle;bridge;foot;highway;horse;layer;maxweight;motor_vehi;surface;barrier;name_en;start_date;generator_;addr_city;addr_count;addr_house;addr_place;addr_postc;addr_stree;addr_subur;at_bev_add;contact_fa;contact_ph;contact_we;generato_1;generato_2;generato_3;generato_4;plant_ou_2;generato_5;capacity;diameter;flow_direc;location;man_made;pressure;substance;usage;waterway;descriptio;generato_6;plant_ou_3;email;phone;constructi;canal;direction;tunnel;OBJECTID;BL_KZ;BL;ST_KZ;ST;FL;FL_KM;STAND;Shape__Are;Shape__Len
POINT (13.4381125277212 48.55360697141);w27661875;27661875;way;50;http://regiowiki.pnp.de/index.php/Kraftwerk_Ingling;Kraftwerk Passau-Ingling;Grenzkraftwerke GmbH;run-of-the-river;86.4 MW;hydro;plant;110000;Q17124139;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;4;OberÃ¶sterreich;1;Ã–sterreich;11982589835;11982,58984;01.10.2017;26892314899;1320561,023
POINT (11.7569568754949 47.3891855419214);w30880774;30880774;way;;;Achenseekraftwerk;TIWAG;water-storage;79 MW;hydro;plant;;Q30975248;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;7;Tirol;1;Ã–sterreich;12648339352;12648,33935;01.10.2017;27380103698;1538631,046
POINT (15.9185307062915 48.3238460685031);w31289685;31289685;way;;;Kraftwerk Dürnrohr;"VERBUND Austrian Thermal Power AG; EVN AG";combustion;352 MW;"gas;waste";plant;;Q477846;coal;10 MW;https://www.evn.at/EVN-Group/Energie-Zukunft/Energie-aus-Niederosterreich/Gas-und-Kohle.aspx;de:Kraftwerk Dürnrohr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;NiederÃ¶sterreich;1;Ã–sterreich;19179264850;19179,26485;01.10.2017;43300422994;1756980,271
POINT (14.4684813686142 48.0986775335361);w33062622;33062622;way;;;Kraftwerk Staning;Ennskraftwerke AG;run-of-the-river;43 MW;hydro;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;NiederÃ¶sterreich;1;Ã–sterreich;19179264850;19179,26485;01.10.2017;43300422994;1756980,271
POINT (14.0022311116297 48.487486966658);w36886265;36886265;way;;;;;;;;;;;;;;;no;yes;yes;service;no;1;11;yes;asphalt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;4;OberÃ¶sterreich;1;Ã–sterreich;11982589835;11982,58984;01.10.2017;26892314899;1320561,023
POINT (15.7132174572261 48.329501127858);w45272991;45272991;way;;;;;;;gas;plant;;;;;;;;;;;;;;;;fence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;NiederÃ¶sterreich;1;Ã–sterreich;19179264850;19179,26485;01.10.2017;43300422994;1756980,271
POINT (15.7095547335337 48.3947091055678);w47001764;47001764;way;;;Kraftwerk Theiß;EVN;combustion;800 MW;gas;plant;;Q1521544;;;;de:Kraftwerk Theiß;;;;;;;;;;;Theiss Power Plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;NiederÃ¶sterreich;1;Ã–sterreich;19179264850;19179,26485;01.10.2017;43300422994;1756980,271
POINT (10.5322773732338 47.4983795091255);w80286405;80286405;way;;;Fernwärmekraftwerk;;;;biomass;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;7;Tirol;1;Ã–sterreich;12648339352;12648,33935;01.10.2017;27380103698;1538631,046
POINT (14.5308516162548 48.2248604085597);w95828353;95828353;way;;;Kraftwerk St. Pantaleon-Erla;Ennskraftwerke AG;run-of-the-river;51 MW;hydro;plant;;Q30973613;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;NiederÃ¶sterreich;1;Ã–sterreich;19179264850;19179,26485;01.10.2017;43300422994;1756980,271
POINT (13.4419731 48.43374675);w95975622;95975622;way;;;;;;;;;;;;;;;;;;;;;;;;fence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;4;OberÃ¶sterreich;1;Ã–sterreich;11982589835;11982,58984;01.10.2017;26892314899;1320561,023
POINT (14.3524811775876 47.9409351237045);w96843738;96843738;way;;;Kraftwerk Ternberg;Ennskraftwerke AG;run-of-the-river;42 MW;hydro;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;4;OberÃ¶sterreich;1;Ã–sterreich;11982589835;11982,58984;01.10.2017;26892314899;1320561,023
POINT (12.2300492189317 47.2439762189417);w98429378;98429378;way;;;Kraftwerk Wald;Salzburg AG;water-storage;23.5 MW;hydro;plant;;;;;;;;;;;;;;;;;;1988;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;5;Salzburg;1;Ã–sterreich;7154584478;7154,584478;01.10.2017;15614090483;1149859,065
POINT (11.8329403120329 47.1519015361044);w99858973;99858973;way;;;Kraftwerk Bösdornau;Verbund Hydro Power GmbH;water-storage;25 MW;hydro;plant;;;;;https://www.verbund.com/de-de/ueber-verbund/kraftwerke/unsere-kraftwerke/boesdornau;de:Wasserkraftwerke im Zillertal#Kraftwerk Bösdornau;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;7;Tirol;1;Ã–sterreich;12648339352;12648,33935;01.10.2017;27380103698;1538631,046
POINT (15.0914214203809 46.9873625086443);w104814385;104814385;way;;;Kraftwerk St. Martin;Verbund Hydro Power GmbH;water-storage;11 MW;hydro;plant;;Q30276592;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;6;Steiermark;1;Ã–sterreich;16398760502;16398,7605;01.10.2017;35629716603;1380312,421
POINT (12.0878485639251 47.5154863864061);w105080865;105080865;way;;;Kraftwerk Kirchbichl;Tiroler Wasserkraft AG;run-of-the-river;19.3 MW;hydro;plant;;Q63533643;;;;de:Kraftwerk Kirchbichl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;7;Tirol;1;Ã–sterreich;12648339352;12648,33935;01.10.2017;27380103698;1538631,046
POINT (12.2293791132461 47.2438978780447);w106509499;106509499;way;;;Biomasseheizwerk Wald;Salzburg AG;;;;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;5;Salzburg;1;Ã–sterreich;7154584478;7154,584478;01.10.2017;15614090483;1149859,065
POINT (12.0583457941848 47.2354087336312);w106512774;106512774;way;;;Kraftwerk Funsingau;Verbund Hydro Power GmbH;water-storage;25 MW;hydro;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;7;Tirol;1;Ã–sterreich;12648339352;12648,33935;01.10.2017;27380103698;1538631,046
POINT (14.6892941425684 47.7034856890126);w118134590;118134590;way;;;Kraftwerk Krippau;Verbund Hydro Power GmbH;run-of-the-river;30 MW;hydro;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;6;Steiermark;1;Ã–sterreich;16398760502;16398,7605;01.10.2017;35629716603;1380312,421
POINT (14.2568926416802 47.8943330845508);w118296574;118296574;way;;;Piesslinger E-Werk 2;Piesslinger GmbH;;;;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;4;OberÃ¶sterreich;1;Ã–sterreich;11982589835;11982,58984;01.10.2017;26892314899;1320561,023
POINT (11.6524501418867 47.3395269860632);w121701528;121701528;way;;;Kraftwerk Vomperbach Oberstufe;;;;hydro;plant;;;;;;;;;;;;;;;;;;;;Vomp;AT;1;Pirchat;6134;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;7;Tirol;1;Ã–sterreich;12648339352;12648,33935;01.10.2017;27380103698;1538631,046
POINT (14.376904646783 47.9928424212763);w152183126;152183126;way;;;Kraftwerk Rosenau;Ennskraftwerke AG;run-of-the-river;34 MW;hydro;plant;;;;;;;;;;;;;;;;;;13.10.1953;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;4;OberÃ¶sterreich;1;Ã–sterreich;11982589835;11982,58984;01.10.2017;26892314899;1320561,023
POINT (15.5660344449681 46.8280381346838);w152304106;152304106;way;;;Kraftwerk Gralla;Verbund Hydro Power GmbH;run-of-the-river;15 MW;hydro;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;6;Steiermark;1;Ã–sterreich;16398760502;16398,7605;01.10.2017;35629716603;1380312,421
POINT (15.5717192351165 46.745675240495);w152305012;152305012;way;;;Kraftwerk Obervogau;Verbund Hydro Power GmbH;run-of-the-river;13 MW;hydro;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;6;Steiermark;1;Ã–sterreich;16398760502;16398,7605;01.10.2017;35629716603;1380312,421
POINT (15.6211653846307 46.7164607383809);w152306474;152306474;way;;;Kraftwerk Spielfeld;Verbund Hydro Power GmbH;run-of-the-river;13 MW;hydro;plant;;;;;;;;;;;;;;;;;;;;Straß in Steiermark;AT;12;;8472;Südbahnstraße;Spielfeld;02.04.2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;6;Steiermark;1;Ã–sterreich;16398760502;16398,7605;01.10.2017;35629716603;1380312,421
POINT (14.0653498381459 47.1077673632802);w153223717;153223717;way;;;Kraftwerk Bodendorf-Mur;Verbund Hydro Power GmbH;run-of-the-river;7.0 MW;hydro;plant;;Q27926679;;;;de:Kraftwerk Bodendorf;;;;;;;;;;;;1982;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;6;Steiermark;1;Ã–sterreich;16398760502;16398,7605;01.10.2017;35629716603;1380312,421
POINT (11.8992906294996 47.2336369313496);w156973415;156973415;way;;;Kraftwerk Gerlos;Verbund Hydro Power GmbH;water-storage;200 MW;hydro;plant;;Q56356334;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;7;Tirol;1;Ã–sterreich;12648339352;12648,33935;01.10.2017;27380103698;1538631,046
POINT (13.4434938196123 48.4350954218654);w160803181;160803181;way;;;;;;;;;;;;;;;;;;;;;;;;fence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;4;OberÃ¶sterreich;1;Ã–sterreich;11982589835;11982,58984;01.10.2017;26892314899;1320561,023
POINT (13.4431594 48.435978);w160803183;160803183;way;;;;;;;;;;;;;;;;;;;;;;;;fence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;4;OberÃ¶sterreich;1;Ã–sterreich;11982589835;11982,58984;01.10.2017;26892314899;1320561,023
POINT (13.4430884232081 48.4338648641426);w160804987;160804987;way;;;;;;;;;;;;;;;;;;;;;;;;fence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;4;OberÃ¶sterreich;1;Ã–sterreich;11982589835;11982,58984;01.10.2017;26892314899;1320561,023
POINT (13.4419506492454 48.4360205102345);w160812266;160812266;way;;;;;;;;;;;;;;;;;;;;;;;;fence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;4;OberÃ¶sterreich;1;Ã–sterreich;11982589835;11982,58984;01.10.2017;26892314899;1320561,023
POINT (13.44289645 48.43595715);w160812271;160812271;way;;;;;;;;;;;;;;;;;;;;;;;;fence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;4;OberÃ¶sterreich;1;Ã–sterreich;11982589835;11982,58984;01.10.2017;26892314899;1320561,023
POINT (13.4423738876371 48.4359268713879);w160812286;160812286;way;;;;;;;;;;;;;;;;;;;;;;;;fence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;4;OberÃ¶sterreich;1;Ã–sterreich;11982589835;11982,58984;01.10.2017;26892314899;1320561,023
POINT (13.4414370667644 48.4359686555763);w160812291;160812291;way;;;;;;;;;;;;;;;;;;;;;;;;fence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;4;OberÃ¶sterreich;1;Ã–sterreich;11982589835;11982,58984;01.10.2017;26892314899;1320561,023
POINT (15.5701614788016 46.7440229505854);w188442755;188442755;way;;;Kraftwerk Retznei;Verbund Hydro Power GmbH;run-of-the-river;1 MW;hydro;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;6;Steiermark;1;Ã–sterreich;16398760502;16398,7605;01.10.2017;35629716603;1380312,421
POINT (14.4999831392466 48.2229996214421);w206535083;206535083;way;50;;Biomasseheizkraftwerk Ennsdorf;GEM - Gesellschaft für Energieversorgung und -management mbH;;;;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;+43 7223 81354-11;+43 7223 81354-13;http://www.gem.at/;combustion;5 MW;25 MW;biomass;;;;;;;;;;;;;;;;;;;;;3;3;NiederÃ¶sterreich;1;Ã–sterreich;19179264850;19179,26485;01.10.2017;43300422994;1756980,271
POINT (13.074285478741 47.2764410495008);w234919099;234919099;way;;;;;;yes;;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;5;Salzburg;1;Ã–sterreich;7154584478;7154,584478;01.10.2017;15614090483;1149859,065
POINT (13.1905319509734 47.1721635504443);w253843701;253843701;way;;;;Lederer;;;;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;5;5;Salzburg;1;Ã–sterreich;7154584478;7154,584478;01.10.2017;15614090483;1149859,065
POINT (13.2444470809296 47.152497165192);w255110778;255110778;way;;;Hubalpenbach;EAg;;;;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;5;5;Salzburg;1;Ã–sterreich;7154584478;7154,584478;01.10.2017;15614090483;1149859,065
POINT (13.1742953104595 47.1928707193506);w256214982;256214982;way;;;;;;yes;;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;5;5;Salzburg;1;Ã–sterreich;7154584478;7154,584478;01.10.2017;15614090483;1149859,065
POINT (13.2097462478811 47.2942719975737);w258779981;258779981;way;50;;Plankenau;EAG;;yes;;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;5;5;Salzburg;1;Ã–sterreich;7154584478;7154,584478;01.10.2017;15614090483;1149859,065
POINT (14.1700450339 47.1927873727954);w260947134;260947134;way;50;;PV Mitterdorf;;photovoltaic;500 kW;solar;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;solar_photovoltaic_panel;;;;;;;;;;;;;;;;;;;6;6;Steiermark;1;Ã–sterreich;16398760502;16398,7605;01.10.2017;35629716603;1380312,421
POINT (12.8434569811448 48.0304693573371);w267364185;267364185;way;;;Kraftwerk Riedersbach;;;;fossil;plant;;Q1786193;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;4;OberÃ¶sterreich;1;Ã–sterreich;11982589835;11982,58984;01.10.2017;26892314899;1320561,023
POINT (14.9361588869396 46.6433069401068);w284997812;284997812;way;;;;;;;;;;;;;;;;;;;;;;;;;;;;Neuhaus;AT;51;Pudlach;9155;;;01.10.2017;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;KÃ¤rnten;1;Ã–sterreich;9536545489;9536,545489;01.10.2017;20336372390;1007787,631
POINT (12.4249076958937 47.2784025822262);w294212983;294212983;way;;;Kraftwerk Hollersbach;Salzburg AG;water-storage;5.2 MW;hydro;plant;;;;;;;;;;;;;;;;;;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;5;Salzburg;1;Ã–sterreich;7154584478;7154,584478;01.10.2017;15614090483;1149859,065
POINT (13.9860240296823 48.4350214566714);w308684350;308684350;way;;;Druckrohrleitung Stausee Langhalsen-Kraftwerk Partenstein;Energie AG;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;26m³/s;2600;forward;overground;pipeline;17,6;water;penstock;pressurised;;;;;;;;;;4;4;OberÃ¶sterreich;1;Ã–sterreich;11982589835;11982,58984;01.10.2017;26892314899;1320561,023
POINT (10.6624107996514 47.061960100365);w312264489;312264489;way;;;Gemeinschaftskraftwerk Inn;Engadiner Kraftwerk AG, TIWAG, Verbund AG;run-of-the-river;89 MW;hydro;plant;;Q95587696;;;;;;;;;;;;;;;;;;Prutz;AT;68;;6522;Dorfstraße;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;7;Tirol;1;Ã–sterreich;12648339352;12648,33935;01.10.2017;27380103698;1538631,046
POINT (16.2357131648707 48.2011014267934);w316403914;316403914;way;;;BürgerInnen Solarkraftwerk Hietzing;Wien Energie;photovoltaic;yes;solar;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;photovoltaic;;;;;;;;;;;;;;;;;;;;;;;;9;9;Wien;1;Ã–sterreich;414752412;414,752412;01.10.2017;933480269,5;203048,3275
POINT (16.3373991849806 47.9695689870914);w355924637;355924637;way;;;;Wien Energie;photovoltaic;yes;solar;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;NiederÃ¶sterreich;1;Ã–sterreich;19179264850;19179,26485;01.10.2017;43300422994;1756980,271
POINT (16.3678398069833 48.1409074690346);w356730615;356730615;way;;;BürgerInnen Solarkraftwerk Liesing;Wien Energie;;yes;solar;plant;;;;;;;;;;;;;;;;fence;;08.04.2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;Versorgung von 196 Haushalten mit Solarenergie;;;;;;;;;9;9;Wien;1;Ã–sterreich;414752412;414,752412;01.10.2017;933480269,5;203048,3275
POINT (14.0073805830319 48.1517122061073);w364737988;364737988;way;;;FHKW;;;;;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;4;OberÃ¶sterreich;1;Ã–sterreich;11982589835;11982,58984;01.10.2017;26892314899;1320561,023
POINT (16.0412250617826 46.9355722582619);w372862697;372862697;way;;;;;photovoltaic;yes;solar;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;6;Steiermark;1;Ã–sterreich;16398760502;16398,7605;01.10.2017;35629716603;1380312,421
POINT (16.3594820141686 48.2344289597683);w389461258;389461258;way;;;;;;;;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;9;Wien;1;Ã–sterreich;414752412;414,752412;01.10.2017;933480269,5;203048,3275
POINT (16.3555339834195 48.0283871921508);w391383538;391383538;way;;;Solarkraftwerk Guntramsdorf;Wien Energie;photovoltaic;yes;solar;plant;;;;;;;;;;;;;;;;;;15.08.2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2 MW;;;;;;;;3;3;NiederÃ¶sterreich;1;Ã–sterreich;19179264850;19179,26485;01.10.2017;43300422994;1756980,271
POINT (13.1282920531276 47.9008055674558);w392105888;392105888;way;;;;;;;;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;yes;;;;;;;5;5;Salzburg;1;Ã–sterreich;7154584478;7154,584478;01.10.2017;15614090483;1149859,065
POINT (15.7687892431112 48.0339933682802);w402034967;402034967;way;;;Naturwärme Kirchtal;Naturwärme Kirchtal GmbH & Co KG;;;;plant;;;;;http://www.naturwaerme.co.at/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;kirchtal@naturwaerme.co.at;+43 2764 2695-90;;;;;3;3;NiederÃ¶sterreich;1;Ã–sterreich;19179264850;19179,26485;01.10.2017;43300422994;1756980,271
POINT (13.1507596 46.65190795);w404135199;404135199;way;;;Elektrizitätswerk;;;;;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;KÃ¤rnten;1;Ã–sterreich;9536545489;9536,545489;01.10.2017;20336372390;1007787,631
POINT (14.4301635432598 47.0627190899903);w422161553;422161553;way;;;;;photovoltaic;yes;solar;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;6;Steiermark;1;Ã–sterreich;16398760502;16398,7605;01.10.2017;35629716603;1380312,421
POINT (16.2025028676053 47.6091102283807);w444737052;444737052;way;;;;;;;;;;;;;;;;;;;;;;;;fence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;NiederÃ¶sterreich;1;Ã–sterreich;19179264850;19179,26485;01.10.2017;43300422994;1756980,271
POINT (14.6302437548093 47.1743384449527);w448976776;448976776;way;50;;;;photovoltaic;yes;solar;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;6;Steiermark;1;Ã–sterreich;16398760502;16398,7605;01.10.2017;35629716603;1380312,421
POINT (16.4335460230729 48.6335574169097);w449002393;449002393;way;;;;;photovoltaic;yes;solar;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;photovoltaic;;;;;;;;;;;;;;;;;;;;;;;;3;3;NiederÃ¶sterreich;1;Ã–sterreich;19179264850;19179,26485;01.10.2017;43300422994;1756980,271
POINT (14.5956505631745 47.6562527785182);w467809112;467809112;way;;;;;;;;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;6;Steiermark;1;Ã–sterreich;16398760502;16398,7605;01.10.2017;35629716603;1380312,421
POINT (14.357239 46.60337875);w478122693;478122693;way;;;Heizwerk Ebenthal;BC Regionalwärme Ebenthal GmbH;;;;plant;;;;;;;;;;;;;;;;;;2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;yes;;;;;;;2;2;KÃ¤rnten;1;Ã–sterreich;9536545489;9536,545489;01.10.2017;20336372390;1007787,631
POINT (12.2770013394364 47.2808031562019);w478380230;478380230;way;;;;;;;solar;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;5;Salzburg;1;Ã–sterreich;7154584478;7154,584478;01.10.2017;15614090483;1149859,065
POINT (15.3128651392158 47.4871607972898);w485018080;485018080;way;;;;;;yes;;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;6;Steiermark;1;Ã–sterreich;16398760502;16398,7605;01.10.2017;35629716603;1380312,421
POINT (16.5436718588221 47.8279111448966);w485568829;485568829;way;;;;;photovoltaic;yes;solar;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;Burgenland;1;Ã–sterreich;3965202735;3965,202735;01.10.2017;8695821877;1121735,798
POINT (15.6541587320738 48.6549905269936);w491954031;491954031;way;;;;;;yes;solar;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;NiederÃ¶sterreich;1;Ã–sterreich;19179264850;19179,26485;01.10.2017;43300422994;1756980,271
POINT (15.6012519800058 46.7930802040185);w499944279;499944279;way;;;;;photovoltaic;yes;solar;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;6;Steiermark;1;Ã–sterreich;16398760502;16398,7605;01.10.2017;35629716603;1380312,421
POINT (15.5991290727045 46.7913160485339);w499944281;499944281;way;;;;;photovoltaic;yes;solar;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;6;Steiermark;1;Ã–sterreich;16398760502;16398,7605;01.10.2017;35629716603;1380312,421
POINT (16.33094795 48.1263641);w521890009;521890009;way;;;;;photovoltaic;yes;solar;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;NiederÃ¶sterreich;1;Ã–sterreich;19179264850;19179,26485;01.10.2017;43300422994;1756980,271
POINT (16.3283844509569 48.1199982321664);w521896441;521896441;way;;;;;photovoltaic;yes;solar;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;NiederÃ¶sterreich;1;Ã–sterreich;19179264850;19179,26485;01.10.2017;43300422994;1756980,271
POINT (16.4309916838841 48.2798312429036);w522560591;522560591;way;;;;;;;;generator;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;photovoltaic;;;solar;;;;;;;;;;;;;;;;;;;;;9;9;Wien;1;Ã–sterreich;414752412;414,752412;01.10.2017;933480269,5;203048,3275
POINT (16.4311145057759 48.2797726623903);w522560592;522560592;way;;;;;;;;generator;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;photovoltaic;;;solar;;;;;;;;;;;;;;;;;;;;;9;9;Wien;1;Ã–sterreich;414752412;414,752412;01.10.2017;933480269,5;203048,3275
POINT (16.4312457057176 48.2797525124394);w522560593;522560593;way;;;;;;;;generator;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;photovoltaic;;;solar;;;;;;;;;;;;;;;;;;;;;9;9;Wien;1;Ã–sterreich;414752412;414,752412;01.10.2017;933480269,5;203048,3275
POINT (16.4310403703693 48.2789352503413);w522560594;522560594;way;;;;;;;;generator;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;photovoltaic;;;solar;;;;;;;;;;;;;;;;;;;;;9;9;Wien;1;Ã–sterreich;414752412;414,752412;01.10.2017;933480269,5;203048,3275
