WKT;fid;PG;GKZ;PLZ;Adresse Ge;Lat;Lon;PG_1;GKZ_1;Gemeinde;layer;path;fid_2;id;name;osm_id;node_type;voltage_11;voltage_22;voltage_38;distance
MULTILINESTRING ((498743.687995177 5352631.00532506,519038.712197442 5349895.53682836));71;Dorfstetten;31506;4392;Forstamt 82;48.326.864.250.000.000;14.983.051.000.000.000;;;;niederoesterreich-wien-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=niederoesterreich-wien-gemeinden-repro;357;124;UW Am Schuss;;9076;y;n;n;20478,54
MULTILINESTRING ((482487.21032248 5365930.90110979,462840.124760884 5371607.37434832));136;Katsdorf;41106;4273;Kaltenberg Nr. 2;48.446.275.399.999.900;14.763.180.200.000.000;Jeging;40416;;oberoesterreich-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=oberoesterreich-gemeinden-repro;406;693;UW Freistadt;;9126;y;n;n;20450,68
MULTILINESTRING ((159572.209233238 5271474.39724469,179809.125080974 5268785.67404358));279;Zöblen;70837;6677;Z�blen 39;47.507.475.700.000.000;10.478.802.800.000.000;;;;tirol-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=tirol-gemeinden-repro;501;541;Reutte;;9223;y;n;n;20414,75
MULTILINESTRING ((500197.060845622 5359755.60459936,517850.002516157 5368984.83907305));41;Behamberg;30506;3633;B�rnkopf 103;48.390.962.799.999.900;15.002.661.900.000.000;;;;niederoesterreich-wien-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=niederoesterreich-wien-gemeinden-repro;356;125;UW Sallingberg;;9075;y;n;n;19919,97
MULTILINESTRING ((492380.401834805 5356240.13712571,482178.997550764 5339186.45703911));304;Scharten;40511;4372;Markt 9;48.359.289.599.999.900;14.897.138.200.000.000;Saxen;41123;;oberoesterreich-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=oberoesterreich-gemeinden-repro;431;786;UW Baumgartenberg;;9151;y;n;n;19872,01
MULTILINESTRING ((163304.97591563 5252857.91939515,175919.875800365 5237588.69501562));41;Elmen;70809;6644;Elmen Br. 2;47.342.413.610.000.000;10.542.371.279.999.900;;;;tirol-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=tirol-gemeinden-repro;498;535;KW Imst;;9220;y;n;n;19806,18
MULTILINESTRING ((452274.555137518 5240008.90556762,451716.994698252 5220285.97208309));176;Raaba-Grambach;60667;8764;Pusterwald 51;47.311.812.000.000.000;14.368.560.909.999.900;;;;steiermark repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=steiermark repro;486;490;UW Teufenbach;;9207;y;n;n;19730,81
MULTILINESTRING ((159863.718910529 5249800.2118271,163684.244777632 5230596.23139689));75;Häselgehr;70813;6651;H�selgehr 160;47.313.205.719.999.900;10.499.290.470.000.000;;;;tirol-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=tirol-gemeinden-repro;517;534;UW Landeck;;9239;y;n;n;19580,33
MULTILINESTRING ((156734.59913008 5255002.30876832,137370.695261782 5256819.2774782));79;Hinterhornbach;70815;6646;Hinterhornbach 18;47.358.236.519.999.900;10.454.007.440.000.000;;;;tirol-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=tirol-gemeinden-repro;531;792;Westegg;;9254;y;n;n;19448,96
MULTILINESTRING ((329439.664651724 5279939.96877925,335665.71200285 5261998.31520926));8;Bad Hofgastein;50402;5091;Niederland 147;47.650.365.299.999.900;12.728.779.599.999.900;;;;salzburg-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=salzburg-gemeinden-repro;18;647;KW Diessbach;;4106;y;n;n;18991,22
MULTILINESTRING ((165830.385622449 5256669.49983117,179809.125080974 5268785.67404358));227;Stanzach;70830;6642;Nr. 6;47.377.902.579.999.900;10.572.837.880.000.000;;;;tirol-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=tirol-gemeinden-repro;501;541;Reutte;;9223;y;n;n;18498,83
MULTILINESTRING ((152541.351922878 5210819.82293972,158561.541079526 5228222.46613413));223;Spiss;70625;6544;Spiss 20;46.959.720.249.999.900;10.432.816.340.000.000;;;;tirol-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=tirol-gemeinden-repro;499;537;UW Tobadill;;9221;y;n;n;18414,52
MULTILINESTRING ((154651.04253349 5247304.37150576,144636.086165436 5231942.64991648));38;Elbigenalp;70808;6652;Dorf 55a;47.288.092.720.000.000;10.432.472.130.000.000;;;;tirol-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=tirol-gemeinden-repro;516;538;UW Sankt Jakob;;9238;y;n;n;18337,99
MULTILINESTRING ((296812.90835927 5199268.61497064,313484.315752022 5205711.6322201));193;St. Jakob in Defereggen;70724;9963;Unterrotte 75;46.915.838.899.999.900;12.331.508.899.999.900;;;;tirol-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=tirol-gemeinden-repro;278;525;UW Matrei;;4050;y;n;n;17873,12
MULTILINESTRING ((566602.080059151 5302927.0631701,581973.950868023 5311740.25529587));169;Gutenstein;32308;2770;Markt 100;47.876.223.000.000.000;15.890.718.100.000.000;;;;niederoesterreich-wien-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=niederoesterreich-wien-gemeinden-repro;392;156;UW Pottenstein;;9112;y;n;n;17719,11
MULTILINESTRING ((429624.268826454 5195633.72529467,446905.119180062 5191881.23519749));38;Globasnitz;20807;9346;Gl�dnitz 125;46.910.507.639.999.900;14.075.854.380.000.000;;;;kaernten-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=kaernten-gemeinden-repro;325;503;UW Gurk;;9043;y;n;n;17683,58
MULTILINESTRING ((417564.957807931 5394151.79090077,425763.055400954 5378616.04512868));149;Klam;41107;4163;Dorfplatz 1;48.694.955.899.999.900;13.879.769.200.000.000;Kirchham;40710;;oberoesterreich-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=oberoesterreich-gemeinden-repro;426;703;UW Rohrbach (Oberoe);;9146;y;n;n;17566,11
MULTILINESTRING ((162350.583967317 5270441.0827962,179809.125080974 5268785.67404358));236;Tannheim;70832;6675;H�f 36;47.499.653.700.000.000;10.516.376.299.999.900;;;;tirol-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=tirol-gemeinden-repro;501;541;Reutte;;9223;y;n;n;17536,85
MULTILINESTRING ((440682.521456689 5290406.079348,433747.690467083 5306427.93350388));324;Sonnberg im Mühlkreis;41623;4572;St. Pankraz 1;47.764.291.000.000.000;14.208.408.300.000.000;Seewalchen am Attersee;41739;;oberoesterreich-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=oberoesterreich-gemeinden-repro;416;725;UW Kirchdorf;;9136;y;n;n;17458,28
MULTILINESTRING ((409651.767384534 5226537.07088352,395386.09018112 5216562.76841199));77;Rauris;50617;5575;Lessach 6;47.186.120.010.000.000;13.807.453.389.999.900;;;;salzburg-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=salzburg-gemeinden-repro;442;513;UW Lungau;;9162;y;n;n;17406,79
MULTILINESTRING ((541934.643558552 5405108.7844751,546602.906172449 5388484.64014378));222;Japons;31111;3763;Japons 64;48.797.557.089.999.900;15.571.018.410.000.000;;;;niederoesterreich-wien-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=niederoesterreich-wien-gemeinden-repro;353;70;UW Horn;;9072;y;n;n;17267,16
MULTILINESTRING ((399767.551001 5356319.68683263,407788.653329209 5371485.0810394));274;Rainbach im Innkreis;41415;4760;Marktstra�e 7;48.352.094.999.999.900;13.647.074.500.000.000;Pühret;41728;;oberoesterreich-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=oberoesterreich-gemeinden-repro;109;702;KW Ranna;;4199;y;n;n;17155,97
MULTILINESTRING ((475833.935663086 5254830.44208575,459662.320313319 5260262.50277961));270;Wald am Schoberpaß;62279;8781;Wald am Schoberpa� 57a;47.446.469.999.999.900;14.679.452.299.999.900;;;;steiermark repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=steiermark repro;464;650;UW Schwarzenbach;;9185;y;n;n;17059,56
MULTILINESTRING ((481620.277873339 5252772.39551487,492941.351469147 5265502.6643891));101;Kapfenberg;62140;8775;Kirchplatz 1;47.428.140.599.999.900;14.756.289.199.999.900;;;;steiermark repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=steiermark repro;264;659;UW Trofeng;;4038;y;n;n;17036,03
MULTILINESTRING ((549562.690319244 5405121.64047126,546602.906172449 5388484.64014378));123;Gerasdorf bei Wien;31235;3753;Hauptstra�e 16;48.797.111.399.999.900;15.674.883.100.000.000;;;;niederoesterreich-wien-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=niederoesterreich-wien-gemeinden-repro;353;70;UW Horn;;9072;y;n;n;16898,23
MULTILINESTRING ((422367.60331932 5292488.62448819,405561.245721322 5293080.8376323));151;Kleinzell im Mühlkreis;41316;4564;Klaus a.d.P. 100;47.781.080.000.000.000;13.963.659.950.000.000;Kirchschlag bei Linz;41613;;oberoesterreich-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=oberoesterreich-gemeinden-repro;428;24;UW Steinkogl;;9148;y;n;n;16816,79
MULTILINESTRING ((237013.124974367 5218390.51386864,222651.865880152 5226914.12662093));207;Schmirn;70349;6154;Schmirn 58b;47.066.618.380.000.000;11.536.352.940.000.000;;;;tirol-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=tirol-gemeinden-repro;39;608;KW Medraz;;4129;y;n;n;16700,23
MULTILINESTRING ((442396.356827622 5377924.20418525,425763.055400954 5378616.04512868));404;Vorderweißenbach;41625;4190;Hauptstra�e 4a;48.551.769.600.000.000;14.219.423.900.000.000;Vichtenstein;41427;;oberoesterreich-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=oberoesterreich-gemeinden-repro;426;703;UW Rohrbach (Oberoe);;9146;y;n;n;16647,68
MULTILINESTRING ((536270.713901075 5410582.14628585,520265.882169641 5406034.4040822));383;Raabs an der Thaya;32216;3823;Hauptstra�e 25;48.847.149.299.999.900;15.494.380.700.000.000;;;;niederoesterreich-wien-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=niederoesterreich-wien-gemeinden-repro;354;71;UW Waidhofen an der Thaya;;9073;y;n;n;16638,41
MULTILINESTRING ((479323.807661108 5370391.77155028,462840.124760884 5371607.37434832));419;Weitersfelden;40625;4272;Weitersfelden 11;48.486.310.959.999.900;14.720.182.489.999.900;Wartberg ob der Aist;40624;;oberoesterreich-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=oberoesterreich-gemeinden-repro;406;693;UW Freistadt;;9126;y;n;n;16528,44
MULTILINESTRING ((411667.72285322 5214179.19785448,395386.09018112 5216562.76841199));3;Ramingstein;50506;;;;;;;;;;442;513;UW Lungau;;9162;y;n;n;16455,18068
MULTILINESTRING ((1093297.58636539 5313056.58254137,1090932.09415584 5329337.77790293));108;Pamhagen;10716;7152;Hauptstraï¿½e 7;476.974.617;169.098.128;;;;;;284;267;UW Frauenkirchen;;9002;y;n;n;16452,14
MULTILINESTRING ((442668.5162659 5368074.63214536,448174.332664377 5352628.29838278));225;Oberschlierbach;40911;4181;Ledererstra�e 1;48.463.192.100.000.000;14.224.464.700.000.000;Oberkappel;41324;;oberoesterreich-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=oberoesterreich-gemeinden-repro;393;690;UW Linz-Nord;;9113;y;n;n;16398,27
MULTILINESTRING ((600455.975970807 5375831.2681455,616268.587981769 5379834.57305571));99;Ernstbrunn;31203;2115;Hauptplatz 1;48.527.545.949.999.900;16.360.621.040.000.000;;;;niederoesterreich-wien-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=niederoesterreich-wien-gemeinden-repro;384;300;UW Mistelbach;;9104;y;n;n;16311,5
MULTILINESTRING ((428583.542073984 5190401.1755762,430495.669588593 5174420.45580644));15;Deutsch-Griffen;20503;9572;Deutsch-Griffen 23;46.863.315.409.999.900;14.063.010.090.000.000;;;;kaernten-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=kaernten-gemeinden-repro;306;455;UW Feldkirchen;;9024;y;n;n;16094,71
MULTILINESTRING ((535740.309872202 5401715.39597342,520265.882169641 5406034.4040822));285;Ludweis-Aigen;32212;3762;Ludweis 1;48.767.418.390.000.000;15.486.379.400.000.000;;;;niederoesterreich-wien-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=niederoesterreich-wien-gemeinden-repro;354;71;UW Waidhofen an der Thaya;;9073;y;n;n;16065,86
MULTILINESTRING ((504232.411462755 5426923.31179858,507601.949802397 5411331.90905857));182;Haugschlag;30915;3874;Haugschlag 10;48.995.195.600.000.000;15.057.859.700.000.000;;;;niederoesterreich-wien-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=niederoesterreich-wien-gemeinden-repro;370;152;UW Heidenreichstein;;9089;y;n;n;15951,35
MULTILINESTRING ((462847.569463451 5208875.24156077,451716.994698252 5220285.97208309));139;Miesenbach bei Birkfeld;61728;8820;Nr. 5;47.032.351.579.999.900;14.511.021.039.999.900;;;;steiermark repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=steiermark repro;486;490;UW Teufenbach;;9207;y;n;n;15940,34
MULTILINESTRING ((252119.187993493 5269140.64640052,263630.549894685 5258141.91124459));3;Achenkirch;70901;6215;Rathaus 387;47.528.374.900.000.000;11.706.744.199.999.900;;;;tirol-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=tirol-gemeinden-repro;258;618;UW Kramsach;;4032;y;n;n;15921,17
MULTILINESTRING ((446073.10418659 5368383.9891789,448174.332664377 5352628.29838278));436;Zwettl an der Rodl;41627;4201;Marktplatz 2;48.466.276.100.000.000;14.270.475.400.000.000;Wolfern;41521;;oberoesterreich-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=oberoesterreich-gemeinden-repro;393;690;UW Linz-Nord;;9113;y;n;n;15895,19
MULTILINESTRING ((172895.739462775 5254479.32074608,179809.125080974 5268785.67404358));143;Namlos;70823;6623;Namlos 24;47.361.824.599.999.900;10.667.775.790.000.000;;;;tirol-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=tirol-gemeinden-repro;501;541;Reutte;;9223;y;n;n;15889,2
MULTILINESTRING ((496096.239361507 5346769.21395239,482178.997550764 5339186.45703911));407;Waldhausen im Strudengau;41125;4391;Markt 14;48.274.116.599.999.900;14.947.388.300.000.000;Vorchdorf;40720;;oberoesterreich-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=oberoesterreich-gemeinden-repro;431;786;UW Baumgartenberg;;9151;y;n;n;15848,91
MULTILINESTRING ((482067.517215307 5355015.94791477,482178.997550764 5339186.45703911));256;Pilsbach;41724;4282;Dorfstra�e 22;48.348.067.399.999.900;14.757.971.100.000.000;Piberbach;41018;;oberoesterreich-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=oberoesterreich-gemeinden-repro;431;786;UW Baumgartenberg;;9151;y;n;n;15829,88
MULTILINESTRING ((505502.759145372 5357980.65623571,519038.712197442 5349895.53682836));168;Gutenbrunn;32511;3665;Gutenbrunn 25;48.374.970.359.999.900;15.074.308.050.000.000;;;;niederoesterreich-wien-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=niederoesterreich-wien-gemeinden-repro;357;124;UW Am Schuss;;9076;y;n;n;15766,77
MULTILINESTRING ((525754.737995293 5420796.3669203,520265.882169641 5406034.4040822));518;Waldkirchen an der Thaya;32222;3844;Waldkirchen an der Thaya 65;48.939.557.999.999.900;15.351.692.099.999.900;;;;niederoesterreich-wien-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=niederoesterreich-wien-gemeinden-repro;354;71;UW Waidhofen an der Thaya;;9073;y;n;n;15749,38
MULTILINESTRING ((561897.135283887 5406069.762254,561261.878108983 5390366.41285011));178;Hardegg;31016;2082;Pleissing 2;48.804.534.050.000.000;15.842.964.050.000.000;;;;niederoesterreich-wien-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=niederoesterreich-wien-gemeinden-repro;362;69;UW Eggenburg;;9081;y;n;n;15716,19
MULTILINESTRING ((555015.279045005 5304928.09431725,557293.171210071 5320301.96841294));402;Ringelsdorf-Niederabsdorf;30850;2663;Rohr im Gebirge 24;47.895.322.999.999.900;15.736.029.000.000.000;;;;niederoesterreich-wien-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=niederoesterreich-wien-gemeinden-repro;359;153;UW Hainfeld;;9078;y;n;n;15541,71
MULTILINESTRING ((152369.800451002 5245377.17629985,144636.086165436 5231942.64991648));18;Bach;70801;6654;Oberbach 47;47.269.601.999.999.900;10.403.900.600.000.000;;;;tirol-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=tirol-gemeinden-repro;516;538;UW Sankt Jakob;;9238;y;n;n;15501,51
MULTILINESTRING ((492766.698839571 5350395.33578052,482178.997550764 5339186.45703911));51;Dorf an der Pram;41405;4371;Dimbach 2;48.306.710.510.000.000;14.902.453.410.000.000;Desselbrunn;41707;;oberoesterreich-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=oberoesterreich-gemeinden-repro;431;786;UW Baumgartenberg;;9151;y;n;n;15418,77
MULTILINESTRING ((371555.072101694 5285898.02789772,356169.858290043 5285460.95153792));38;Hallwang;50316;5324;Hintersee 38;47.713.680.600.000.000;13.287.544.300.000.000;;;;salzburg-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=salzburg-gemeinden-repro;437;56;UW Oberalm;;9157;y;n;n;15391,42
MULTILINESTRING ((488083.006703983 5390292.49589551,499339.844453889 5379892.91163514));425;Schrattenthal;31041;3971;St. Martin 1;48.665.569.900.000.000;14.838.152.400.000.000;;;;niederoesterreich-wien-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=niederoesterreich-wien-gemeinden-repro;374;149;UW Gross-Gerungs;;9093;y;n;n;15325,4
MULTILINESTRING ((448130.844909637 5285833.89126356,451023.479303716 5270840.02897389));293;Rosenau am Hengstpaß;40914;4575;Pichl 1;47.723.797.800.000.000;14.308.343.300.000.000;Rohrbach-Berg;41344;;oberoesterreich-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=oberoesterreich-gemeinden-repro;481;652;UW Ardning;;9202;y;n;n;15270,34
MULTILINESTRING ((232506.427271202 5215403.59979751,222651.865880152 5226914.12662093));66;Gries am Brenner;70313;6156;Gries 73;47.037.981.799.999.900;11.478.880.200.000.000;;;;tirol-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=tirol-gemeinden-repro;39;608;KW Medraz;;4129;y;n;n;15152,71
MULTILINESTRING ((402621.808208907 5357253.59364024,407788.653329209 5371485.0810394));337;St. Johann am Walde;40436;4762;St. Willibald 21;48.360.941.400.000.000;13.685.374.100.000.000;St. Georgen an der Gusen;41120;;oberoesterreich-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=oberoesterreich-gemeinden-repro;109;702;KW Ranna;;4199;y;n;n;15140,39
MULTILINESTRING ((485146.209147904 5395237.4817511,499158.573287384 5400962.23473349));317;Münchendorf;31718;3970;Moorbad Harbach 22;48.709.992.300.000.000;14.798.089.500.000.000;;;;niederoesterreich-wien-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=niederoesterreich-wien-gemeinden-repro;379;150;UW Gmuend;;9099;y;n;n;15136,68
MULTILINESTRING ((477683.17749673 5359968.13640632,462979.182195989 5356406.05750623));353;St. Peter am Hart;40438;4274;Sch�nau 2;48.392.479.950.000.000;14.698.535.000.000.000;St. Nikola an der Donau;41121;;oberoesterreich-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=oberoesterreich-gemeinden-repro;422;684;UW Friensdorf;;9142;y;n;n;15129,31
MULTILINESTRING ((237658.23461044 5225476.14997209,222651.865880152 5226914.12662093));147;Navis;70333;6145;Unterweg 39;47.130.519.499.999.900;11.540.708.800.000.000;;;;tirol-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=tirol-gemeinden-repro;39;608;KW Medraz;;4129;y;n;n;15075,11
MULTILINESTRING ((166222.296870939 5249105.37041446,175919.875800365 5237588.69501562));166;Pfafflar;70825;6647;Bschlabs 30;47.310.241.699.999.900;10.583.688.739.999.900;;;;tirol-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=tirol-gemeinden-repro;498;535;KW Imst;;9220;y;n;n;15055,79
MULTILINESTRING ((440987.188988437 5284341.45152999,440419.156865911 5269315.67589589));403;Vorderstoder;40921;4574;Vorderstoder 66;47.709.757.019.999.900;14.213.296.059.999.900;Utzenaich;41233;;oberoesterreich-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=oberoesterreich-gemeinden-repro;170;374;UW Weissbach;;4260;y;y;n;15036,51
MULTILINESTRING ((447779.225039446 5367609.31693118,448174.332664377 5352628.29838278));365;St. Wolfgang im Salzkammergut;40717;4180;Sonnberg 70;48.459.451.299.999.900;14.293.650.700.000.000;St. Ulrich bei Steyr;41514;;oberoesterreich-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=oberoesterreich-gemeinden-repro;393;690;UW Linz-Nord;;9113;y;n;n;14986,23
MULTILINESTRING ((485395.730714765 5374585.10838048,499339.844453889 5379892.91163514));172;Linz;40101;4252;Liebenau 41;48.524.206.069.999.900;14.802.208.410.000.000;Leopoldschlag;40610;;oberoesterreich-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=oberoesterreich-gemeinden-repro;374;149;UW Gross-Gerungs;;9093;y;n;n;14920,16
MULTILINESTRING ((160538.271677866 5211464.81421236,170940.869921717 5222097.00755729));169;Pfunds;70617;6542;Stuben 45;46.969.647.100.000.000;10.537.119.799.999.900;;;;tirol-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=tirol-gemeinden-repro;59;531;UW Prutz;;4149;y;y;n;14874,73
